iter	RMSE
0	78432.60845
1	76416.93179
2	74313.62971
3	72249.12436
4	70453.25126
5	68636.65894
6	66887.48905
7	65287.50321
8	63693.88467
9	62146.47968
10	60740.55711
11	59312.75157
12	57852.39968
13	56460.61588
14	55199.23764
15	54056.78931
16	52867.35151
17	51712.22503
18	50603.83685
19	49516.17088
20	48328.41228
21	47383.86892
22	46524.32836
23	45681.5464
24	44775.04731
25	43949.87905
26	43037.97999
27	42238.1582
28	41435.69633
29	40690.14062
30	39981.4025
31	39328.84515
32	38676.98156
33	37982.10204
34	37347.1328
35	36692.28027
36	36191.3621
37	35650.26984
38	35044.91398
39	34535.59799
40	34085.8671
41	33614.8706
42	33203.86319
43	32751.16597
44	32377.75202
45	31992.19744
46	31552.17248
47	31143.50509
48	30782.51116
49	30457.58773
50	30098.47645
51	29730.82324
52	29462.12222
53	29162.78353
54	28882.90873
55	28581.60665
56	28322.07008
57	28062.07988
58	27841.27425
59	27598.31291
60	27342.67505
61	27102.5125
62	26909.15039
63	26730.26766
64	26565.23069
65	26394.08266
66	26196.1563
67	25985.01338
68	25780.99581
69	25562.29047
70	25416.67042
71	25201.66729
72	25033.4601
73	24917.01794
74	24744.85645
75	24620.49984
76	24436.30885
77	24258.94966
78	24106.70179
79	23960.48035
80	23818.34483
81	23708.15994
82	23591.81989
83	23457.62724
84	23310.51477
85	23179.28406
86	23041.04205
87	22937.2512
88	22851.76931
89	22728.82997
90	22628.40645
91	22539.97071
92	22411.21017
93	22312.76198
94	22217.70198
95	22099.63818
96	21985.13398
97	21889.39661
98	21776.42201
99	21677.69158
100	21551.0532
101	21491.89416
102	21408.08347
103	21324.01981
104	21232.27892
105	21159.4478
106	21060.27039
107	20985.76278
108	20870.67356
109	20817.55306
110	20729.14209
111	20666.50804
112	20581.00917
113	20508.24831
114	20466.98683
115	20351.4452
116	20264.72953
117	20179.06127
118	20105.56214
119	20011.8832
120	19972.86654
121	19910.37548
122	19841.9508
123	19783.29654
124	19731.79662
125	19667.61769
126	19616.1943
127	19572.25422
128	19503.23669
129	19416.76676
130	19334.91191
131	19264.35418
132	19186.09066
133	19144.26049
134	19111.24774
135	19066.96655
136	19008.1042
137	18989.57073
138	18947.97607
139	18893.09624
140	18830.63905
141	18807.69854
142	18728.79437
143	18664.59373
144	18624.41923
145	18580.70067
146	18538.33985
147	18497.70556
148	18448.56469
149	18407.2255
150	18356.57052
151	18331.08854
152	18312.69585
153	18268.12597
154	18226.83706
155	18209.35035
156	18150.53552
157	18111.63627
158	18083.90073
159	18018.38956
160	17972.27387
161	17937.63368
162	17891.29686
163	17851.49029
164	17823.41415
165	17789.5248
166	17746.05668
167	17729.15791
168	17705.70044
169	17657.55828
170	17607.93089
171	17584.93997
172	17527.47408
173	17499.82925
174	17456.57868
175	17408.47546
176	17375.61921
177	17355.34791
178	17308.45758
179	17267.11801
180	17225.05028
181	17162.89216
182	17136.93802
183	17088.40432
184	17065.38967
185	17028.90757
186	17013.53645
187	16995.48135
188	16960.38579
189	16932.90635
190	16904.32436
191	16869.66464
192	16823.19734
193	16784.87675
194	16740.36699
195	16712.93949
196	16682.46181
197	16631.1765
198	16601.65943
199	16568.1489
200	16554.32997
201	16533.18374
202	16476.29889
203	16443.05791
204	16418.92967
205	16394.3549
206	16352.56911
207	16333.91242
208	16311.66434
209	16290.22173
210	16244.6615
211	16214.81933
212	16199.96049
213	16155.3209
214	16108.59624
215	16093.54994
216	16069.47344
217	16033.62239
218	16012.16599
219	15967.83957
220	15949.08513
221	15905.89516
222	15867.87528
223	15854.97413
224	15828.96497
225	15806.83878
226	15767.65542
227	15726.35603
228	15684.31467
229	15664.29917
230	15647.69629
231	15609.60472
232	15561.55465
233	15546.35
234	15519.68172
235	15484.12979
236	15442.8131
237	15423.09439
238	15385.209
239	15344.58984
240	15327.22605
241	15287.96251
242	15279.03933
243	15248.54317
244	15215.64513
245	15194.20307
246	15181.0305
247	15157.44248
248	15122.39445
249	15077.47061
250	15050.50935
251	15032.36538
252	14994.47916
253	14947.64647
254	14901.04425
255	14887.58823
256	14857.45736
257	14814.8261
258	14777.04548
259	14755.19585
260	14735.55468
261	14722.30911
262	14711.58289
263	14692.68226
264	14682.52954
265	14655.65947
266	14628.14557
267	14598.07654
268	14572.05983
269	14535.03822
270	14496.14601
271	14462.37086
272	14432.79127
273	14391.61027
274	14357.50638
275	14332.57747
276	14307.43097
277	14284.54402
278	14262.39779
279	14254.37884
280	14238.31638
281	14205.22865
282	14177.59403
283	14172.06027
284	14155.18327
285	14142.82286
286	14106.78261
287	14089.07914
288	14058.43879
289	14050.30485
290	14024.77211
291	13989.11519
292	13959.8649
293	13931.28894
294	13900.02694
295	13882.00892
296	13851.22812
297	13830.40858
298	13817.19667
299	13777.32439
300	13766.74039
301	13754.57031
302	13730.72519
303	13720.2217
304	13707.98468
305	13691.40941
306	13668.74402
307	13647.69252
308	13627.99878
309	13600.26212
310	13583.76717
311	13565.08403
312	13542.72916
313	13527.91416
314	13493.22968
315	13467.68315
316	13445.96035
317	13412.08851
318	13383.93003
319	13352.35861
320	13336.13987
321	13308.43797
322	13283.46475
323	13270.84274
324	13239.67433
325	13205.89243
326	13184.56374
327	13161.36906
328	13135.81393
329	13115.40003
330	13086.25201
331	13069.07652
332	13038.78912
333	13022.63304
334	12998.2094
335	12974.49636
336	12945.92136
337	12925.36501
338	12899.35888
339	12866.79372
340	12854.64908
341	12824.20843
342	12806.20507
343	12779.23184
344	12757.51712
345	12728.66864
346	12698.77381
347	12677.53393
348	12663.53656
349	12645.53313
350	12633.45117
351	12603.62373
352	12580.37395
353	12563.2256
354	12553.75378
355	12550.12103
356	12526.96001
357	12510.63828
358	12485.1102
359	12470.67919
360	12446.32769
361	12441.8582
362	12428.40349
363	12405.0514
364	12378.30331
365	12358.87033
