iter	Passed	Remaining
0	4	4948
1	10	5315
2	15	5007
3	19	4857
4	27	5441
5	31	5243
6	36	5113
7	42	5221
8	46	5108
9	50	5031
10	56	5101
11	61	5042
12	65	4979
13	70	4947
14	75	4977
15	80	4931
16	84	4884
17	89	4897
18	95	4930
19	100	4922
20	106	4972
21	110	4929
22	115	4888
23	121	4950
24	126	4921
25	130	4892
26	136	4914
27	141	4895
28	145	4871
29	149	4846
30	158	4949
31	162	4917
32	167	4898
33	184	5228
34	239	6599
35	255	6833
36	271	7061
37	286	7257
38	300	7409
39	322	7750
40	336	7869
41	367	8383
42	386	8603
43	394	8580
44	401	8521
45	407	8444
46	437	8861
47	453	9003
48	459	8915
49	467	8879
50	472	8797
51	478	8721
52	488	8736
53	494	8659
54	500	8597
55	506	8531
56	511	8466
57	520	8457
58	525	8387
59	531	8333
60	537	8266
61	542	8202
62	549	8178
63	554	8115
64	560	8056
65	565	8008
66	571	7952
67	576	7899
68	585	7898
69	591	7857
70	599	7846
71	608	7839
72	620	7873
73	627	7848
74	633	7813
75	639	7769
76	647	7764
77	653	7726
78	659	7691
79	666	7661
80	673	7636
81	680	7618
82	686	7581
83	691	7541
84	697	7508
85	703	7472
86	708	7435
87	718	7446
88	724	7412
89	730	7381
90	735	7347
91	753	7440
92	761	7423
93	766	7391
94	771	7353
95	779	7342
96	785	7309
97	790	7277
98	795	7243
99	800	7208
100	807	7191
101	815	7183
102	820	7149
103	827	7128
104	832	7097
105	838	7068
106	848	7082
107	853	7052
108	859	7027
109	864	6998
110	870	6967
111	877	6960
112	883	6933
113	888	6906
114	893	6879
115	899	6852
116	906	6838
117	911	6816
118	917	6789
119	924	6781
120	932	6770
121	940	6765
122	945	6743
123	951	6720
124	957	6699
125	962	6676
126	967	6652
127	977	6659
128	982	6635
129	988	6617
130	994	6593
131	999	6573
132	1010	6587
133	1016	6567
134	1022	6550
135	1037	6593
136	1043	6575
137	1049	6554
138	1056	6541
139	1061	6517
140	1066	6497
141	1075	6499
142	1081	6479
143	1087	6463
144	1092	6441
145	1098	6422
146	1108	6434
147	1114	6413
148	1120	6399
149	1127	6387
150	1131	6363
151	1138	6352
152	1142	6326
153	1147	6302
154	1152	6281
155	1156	6259
156	1161	6235
157	1167	6221
158	1172	6201
159	1176	6177
160	1181	6157
161	1186	6139
162	1192	6122
163	1197	6104
164	1202	6085
165	1206	6062
166	1211	6042
167	1216	6023
168	1220	6001
169	1224	5980
170	1230	5966
171	1238	5961
172	1243	5942
173	1248	5924
174	1252	5903
175	1256	5882
176	1261	5863
177	1279	5907
178	1283	5887
179	1288	5868
180	1292	5847
181	1300	5843
182	1305	5828
183	1310	5809
184	1315	5793
185	1319	5773
186	1323	5754
187	1331	5749
188	1336	5733
189	1340	5714
190	1346	5702
191	1350	5683
192	1354	5665
193	1364	5668
194	1369	5652
195	1373	5634
196	1378	5620
197	1383	5602
198	1387	5584
199	1394	5577
200	1398	5559
201	1403	5545
202	1409	5534
203	1415	5522
204	1420	5508
205	1428	5506
206	1433	5490
207	1439	5482
208	1446	5473
209	1451	5458
210	1455	5441
211	1461	5432
212	1465	5415
213	1470	5400
214	1475	5388
215	1480	5372
216	1484	5356
217	1494	5361
218	1499	5347
219	1503	5331
220	1509	5321
221	1517	5316
222	1528	5325
223	1532	5309
224	1537	5296
225	1543	5284
226	1548	5271
227	1555	5267
228	1560	5254
229	1564	5238
230	1571	5230
231	1576	5220
232	1581	5204
233	1588	5199
234	1593	5188
235	1598	5174
236	1605	5167
237	1610	5157
238	1616	5146
239	1628	5157
240	1638	5160
241	1643	5148
242	1649	5137
243	1660	5144
244	1664	5130
245	1672	5127
246	1678	5116
247	1685	5110
248	1692	5103
249	1696	5089
250	1702	5080
251	1707	5069
252	1712	5055
253	1719	5049
254	1724	5037
255	1728	5023
256	1735	5016
257	1739	5003
258	1744	4990
259	1754	4994
260	1759	4982
261	1765	4971
262	1770	4962
263	1775	4949
264	1779	4936
265	1785	4927
266	1793	4924
267	1799	4914
268	1803	4902
269	1814	4905
270	1818	4892
271	1824	4884
272	1830	4874
273	1834	4862
